title,author,avg_rating,num_rating
"Winnie-the-Pooh (Winnie-the-Pooh, #1)",A.A. Milne,4.38,391126
"The Notebook (The Notebook, #1)",Nicholas Sparks,4.16,1818466
The Girl Who Played with Fire (Millennium #2),Stieg Larsson,4.26,975705
"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,4.58,3590353
The Zombie Room,R.D. Ronald,3.91,38292
Fahrenheit 451,Ray Bradbury,3.97,2751945
Gone Girl,Gillian Flynn,4.14,3383657
"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,4.47,11158037
"The Shining (The Shining, #1)",Stephen        King,4.28,1663798
"Moby-Dick or, The Whale",Herman Melville,3.56,606744
A Prayer for Owen Meany,John Irving,4.24,333766
The Stranger,Albert Camus,4.03,1339533
"Clockwork Angel (The Infernal Devices, #1)",Cassandra Clare,4.31,869720
"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,4.43,4388262
"The Hobbit, or There and Back Again",J.R.R. Tolkien,4.3,4377318
A Story of Yesterday,Sergio Cobo,4.53,17548
It,Stephen        King,4.24,1237789
The Secret Life of Bees,Sue Monk Kidd,4.1,1342276
The Metamorphosis,Franz Kafka,3.9,1363405
"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,4.52,1060179
The Red Tent,Anita Diamant,4.2,626474
The Girl on the Train,Paula Hawkins,3.96,3228300
The Master and Margarita,Mikhail Bulgakov,4.28,406967
Dark Places,Gillian Flynn,3.94,824063
"Red Dragon (Hannibal Lecter, #1)",Thomas  Harris,4.07,367261
Mystic River,Dennis Lehane,4.17,162166
Never Lie,Freida McFadden,4.08,1304604
Before I Go to Sleep,S.J. Watson,3.9,363982
Shutter Island,Dennis Lehane,4.13,219295
Big Little Lies,Liane Moriarty,4.31,1098710
None of This Is True,Lisa Jewell,4.08,1023532
The Count of Monte Cristo,Alexandre Dumas,4.32,1001185
The Paris Apartment,Lucy Foley,3.65,690852
"The Family Upstairs (The Family Upstairs, #1)",Lisa Jewell,3.96,541451
1984,George Orwell,4.2,5294011
Lock Every Door,Riley Sager,3.89,285959
"The Housemaid's Secret (The Housemaid, #2)",Freida McFadden,4.19,1387393
The Woman in the Window,A.J. Finn,3.94,870525
"You (You, #1)",Caroline Kepnes,3.96,286187
"The Last Olympian (Percy Jackson and the Olympians, #5)",Rick Riordan,4.55,1124522
Eragon (The Inheritance Cycle #1),Christopher Paolini,3.96,1912786
"The Woman in Cabin 10 (Lo Blacklock, #1)",Ruth Ware,3.73,730272
The Very Hungry Caterpillar,Eric Carle,4.34,540881
Pretty Girls,Karin Slaughter,4.01,655539
Home Before Dark,Riley Sager,4.05,287299
"The Bone Collector (Lincoln Rhyme, #1)",Jeffery Deaver,4.2,193531
Looking for Alaska,John Green,3.96,1725426
Behind Closed Doors,B.A. Paris,3.97,731714
"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,4.24,3085570
No Exit,Taylor  Adams,3.99,208234
